lookback_period,buy_threshold_percentage,sell_threshold_percentage,cooldown_period,apy_percentage,max_drawdown_percentage,sharpe_ratio,trade_count,won_count,lost_count,won_rate,lost_rate,profit_factor
21,10,5,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,5,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
21,10,5,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,5,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,5,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,5,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,10,8,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,8,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
21,10,8,7,-30.95174345350138,86.55086491120973,-1.0828080613227014,449,181,268,40.31180400890869,59.68819599109132,0.8194710614478679
21,10,8,10,-41.43398038811677,93.92249244441382,-1.7118981710651369,449,182,267,40.53452115812918,59.46547884187082,0.7436999639413628
21,10,8,13,-42.177840004281755,94.83267743614635,-1.696072877424505,453,184,269,40.618101545253865,59.38189845474614,0.7581518485695307
21,10,8,16,-38.478815373931226,93.15145726182888,-1.105012703741444,458,199,259,43.44978165938865,56.55021834061136,0.7856016276725203
21,10,11,1,-22.801823250890834,83.68731179498828,-0.4078474700140326,443,185,258,41.760722347629795,58.239277652370205,0.8836766800548232
21,10,11,4,-22.947760792236924,84.97887692218941,-0.26444691883125204,453,190,263,41.94260485651214,58.05739514348785,0.889454541652286
